Rank	Gene	ID	Score	Status	HaploinsufficiencyScore GeneIntoleranceScore
1	PSEN1	5663	1	SeedGene	0.955	0.6962727058
2	STIM1	6786	0.9852	SeedGene	0.206	0.6245576787
3	PLA2G6	8398	0.9517	SeedGene	0.150	0.96915546119
4	MAPT	4137	0.9491	SeedGene	0.245	0.0191082803
5	VCP	7415	0.948	SeedGene	0	0.6993394669
6	SQSTM1	8878	0.9465	SeedGene	0.829	0.651155933
7	TREM2	54209	0.9357	SeedGene	0.039	0.2074781788
8	GRN	2896	0.9141	SeedGene	0.103	0.7633875914
9	CHMP2B	25978	0.8982	SeedGene	0.281	0.583569238
10	C9ORF72	203228	0.8536	SeedGene	0.219	0.8045529606
11	OPA3	80207	0.8536	SeedGene	0.115	0.2487615004
